display_id,doc_id,topic_id,confidence_level,ad_id,click
4.0,1777797.0,16.0,0.0492,149930.0,0.0
4.0,1777797.0,16.0,0.0492,153623.0,1.0
4.0,1777797.0,16.0,0.0492,184709.0,0.0
4.0,1777797.0,16.0,0.0492,186849.0,0.0
4.0,1777797.0,16.0,0.0492,233730.0,0.0
5.0,252458.0,265.0,0.0662,54606.0,0.0
5.0,252458.0,16.0,0.0579,54606.0,0.0
5.0,252458.0,136.0,0.0238,54606.0,0.0
5.0,252458.0,265.0,0.0662,162868.0,0.0
5.0,252458.0,16.0,0.0579,162868.0,0.0
5.0,252458.0,136.0,0.0238,162868.0,0.0
5.0,252458.0,265.0,0.0662,184548.0,0.0
5.0,252458.0,16.0,0.0579,184548.0,0.0
5.0,252458.0,136.0,0.0238,184548.0,0.0
5.0,252458.0,265.0,0.0662,282674.0,0.0
5.0,252458.0,16.0,0.0579,282674.0,0.0
5.0,252458.0,136.0,0.0238,282674.0,0.0
5.0,252458.0,265.0,0.0662,326514.0,1.0
5.0,252458.0,16.0,0.0579,326514.0,1.0
5.0,252458.0,136.0,0.0238,326514.0,1.0
6.0,1773517.0,216.0,0.0239,85397.0,0.0
6.0,1773517.0,216.0,0.0239,160754.0,0.0
6.0,1773517.0,216.0,0.0239,173388.0,0.0
6.0,1773517.0,216.0,0.0239,175234.0,1.0
6.0,1773517.0,216.0,0.0239,180923.0,0.0
6.0,1773517.0,216.0,0.0239,234445.0,0.0
7.0,1149661.0,16.0,0.0502,105766.0,1.0
7.0,1149661.0,140.0,0.0319,105766.0,1.0
7.0,1149661.0,16.0,0.0502,215967.0,0.0
7.0,1149661.0,140.0,0.0319,215967.0,0.0
7.0,1149661.0,16.0,0.0502,300808.0,0.0
7.0,1149661.0,140.0,0.0319,300808.0,0.0
8.0,1330329.0,143.0,0.0729,95724.0,0.0
8.0,1330329.0,16.0,0.0533,95724.0,0.0
8.0,1330329.0,8.0,0.0235,95724.0,0.0
8.0,1330329.0,143.0,0.0729,175694.0,0.0
8.0,1330329.0,16.0,0.0533,175694.0,0.0
8.0,1330329.0,8.0,0.0235,175694.0,0.0
8.0,1330329.0,143.0,0.0729,280430.0,1.0
8.0,1330329.0,16.0,0.0533,280430.0,1.0
8.0,1330329.0,8.0,0.0235,280430.0,1.0
8.0,1330329.0,143.0,0.0729,329774.0,0.0
8.0,1330329.0,16.0,0.0533,329774.0,0.0
8.0,1330329.0,8.0,0.0235,329774.0,0.0
9.0,1772126.0,136.0,0.0699,19959.0,0.0
9.0,1772126.0,16.0,0.0589,19959.0,0.0
9.0,1772126.0,140.0,0.031,19959.0,0.0
9.0,1772126.0,136.0,0.0699,104208.0,0.0
9.0,1772126.0,16.0,0.0589,104208.0,0.0
9.0,1772126.0,140.0,0.031,104208.0,0.0
9.0,1772126.0,136.0,0.0699,140940.0,1.0
9.0,1772126.0,16.0,0.0589,140940.0,1.0
9.0,1772126.0,140.0,0.031,140940.0,1.0
9.0,1772126.0,136.0,0.0699,151028.0,0.0
9.0,1772126.0,16.0,0.0589,151028.0,0.0
9.0,1772126.0,140.0,0.031,151028.0,0.0
10.0,157455.0,140.0,0.0331,241662.0,0.0
10.0,157455.0,140.0,0.0331,332908.0,1.0
11.0,1773230.0,216.0,0.0703,51955.0,0.0
11.0,1773230.0,20.0,0.0322,51955.0,0.0
11.0,1773230.0,36.0,0.0142,51955.0,0.0
11.0,1773230.0,216.0,0.0703,96116.0,0.0
11.0,1773230.0,20.0,0.0322,96116.0,0.0
11.0,1773230.0,36.0,0.0142,96116.0,0.0
11.0,1773230.0,216.0,0.0703,139059.0,1.0
11.0,1773230.0,20.0,0.0322,139059.0,1.0
11.0,1773230.0,36.0,0.0142,139059.0,1.0
11.0,1773230.0,216.0,0.0703,149541.0,0.0
11.0,1773230.0,20.0,0.0322,149541.0,0.0
11.0,1773230.0,36.0,0.0142,149541.0,0.0
11.0,1773230.0,216.0,0.0703,156477.0,0.0
11.0,1773230.0,20.0,0.0322,156477.0,0.0
11.0,1773230.0,36.0,0.0142,156477.0,0.0
11.0,1773230.0,216.0,0.0703,159431.0,0.0
11.0,1773230.0,20.0,0.0322,159431.0,0.0
11.0,1773230.0,36.0,0.0142,159431.0,0.0
13.0,1778533.0,199.0,0.1268,121703.0,0.0
13.0,1778533.0,136.0,0.0149,121703.0,0.0
13.0,1778533.0,199.0,0.1268,143294.0,0.0
13.0,1778533.0,136.0,0.0149,143294.0,0.0
13.0,1778533.0,199.0,0.1268,149541.0,1.0
13.0,1778533.0,136.0,0.0149,149541.0,1.0
16.0,1727882.0,143.0,0.0547,104208.0,0.0
16.0,1727882.0,216.0,0.0265,104208.0,0.0
16.0,1727882.0,8.0,0.024,104208.0,0.0
16.0,1727882.0,143.0,0.0547,172888.0,0.0
16.0,1727882.0,216.0,0.0265,172888.0,0.0
16.0,1727882.0,8.0,0.024,172888.0,0.0
16.0,1727882.0,143.0,0.0547,235104.0,0.0
16.0,1727882.0,216.0,0.0265,235104.0,0.0
16.0,1727882.0,8.0,0.024,235104.0,0.0
16.0,1727882.0,143.0,0.0547,273567.0,1.0
16.0,1727882.0,216.0,0.0265,273567.0,1.0
16.0,1727882.0,8.0,0.024,273567.0,1.0
17.0,1667725.0,20.0,0.1009,27309.0,0.0
17.0,1667725.0,16.0,0.0802,27309.0,0.0
17.0,1667725.0,8.0,0.036,27309.0,0.0
17.0,1667725.0,20.0,0.1009,37191.0,1.0
17.0,1667725.0,16.0,0.0802,37191.0,1.0
17.0,1667725.0,8.0,0.036,37191.0,1.0
17.0,1667725.0,20.0,0.1009,81652.0,0.0
17.0,1667725.0,16.0,0.0802,81652.0,0.0
17.0,1667725.0,8.0,0.036,81652.0,0.0
17.0,1667725.0,20.0,0.1009,250080.0,0.0
17.0,1667725.0,16.0,0.0802,250080.0,0.0
17.0,1667725.0,8.0,0.036,250080.0,0.0
21.0,1771519.0,216.0,0.1184,5558.0,0.0
21.0,1771519.0,216.0,0.1184,28337.0,1.0
21.0,1771519.0,216.0,0.1184,89256.0,0.0
21.0,1771519.0,216.0,0.1184,137128.0,0.0
22.0,1748533.0,8.0,0.0815,171594.0,0.0
22.0,1748533.0,8.0,0.0815,225435.0,0.0
22.0,1748533.0,8.0,0.0815,232272.0,0.0
22.0,1748533.0,8.0,0.0815,288069.0,1.0
24.0,1789836.0,36.0,0.0506,48185.0,0.0
24.0,1789836.0,36.0,0.0506,64255.0,0.0
24.0,1789836.0,36.0,0.0506,80301.0,1.0
24.0,1789836.0,36.0,0.0506,87029.0,0.0
24.0,1789836.0,36.0,0.0506,137247.0,0.0
24.0,1789836.0,36.0,0.0506,193650.0,0.0
26.0,1755529.0,199.0,0.0975,152193.0,1.0
26.0,1755529.0,20.0,0.0904,152193.0,1.0
26.0,1755529.0,8.0,0.0207,152193.0,1.0
26.0,1755529.0,199.0,0.0975,285992.0,0.0
26.0,1755529.0,20.0,0.0904,285992.0,0.0
26.0,1755529.0,8.0,0.0207,285992.0,0.0
27.0,1760776.0,199.0,0.1863,7432.0,1.0
27.0,1760776.0,140.0,0.0243,7432.0,1.0
27.0,1760776.0,199.0,0.1863,250319.0,0.0
27.0,1760776.0,140.0,0.0243,250319.0,0.0
30.0,1773952.0,8.0,0.1018,139944.0,1.0
30.0,1773952.0,265.0,0.0204,139944.0,1.0
30.0,1773952.0,8.0,0.1018,166549.0,0.0
30.0,1773952.0,265.0,0.0204,166549.0,0.0
30.0,1773952.0,8.0,0.1018,181548.0,0.0
30.0,1773952.0,265.0,0.0204,181548.0,0.0
30.0,1773952.0,8.0,0.1018,250079.0,0.0
30.0,1773952.0,265.0,0.0204,250079.0,0.0
30.0,1773952.0,8.0,0.1018,269017.0,0.0
30.0,1773952.0,265.0,0.0204,269017.0,0.0
31.0,1766961.0,8.0,0.0522,5116.0,0.0
31.0,1766961.0,8.0,0.0522,31770.0,1.0
31.0,1766961.0,8.0,0.0522,44927.0,0.0
31.0,1766961.0,8.0,0.0522,122410.0,0.0
31.0,1766961.0,8.0,0.0522,160722.0,0.0
31.0,1766961.0,8.0,0.0522,223536.0,0.0
33.0,1791206.0,265.0,0.045,34348.0,0.0
33.0,1791206.0,20.0,0.0265,34348.0,0.0
33.0,1791206.0,265.0,0.045,36619.0,0.0
33.0,1791206.0,20.0,0.0265,36619.0,0.0
33.0,1791206.0,265.0,0.045,138832.0,0.0
33.0,1791206.0,20.0,0.0265,138832.0,0.0
33.0,1791206.0,265.0,0.045,238429.0,0.0
33.0,1791206.0,20.0,0.0265,238429.0,0.0
33.0,1791206.0,265.0,0.045,325904.0,1.0
33.0,1791206.0,20.0,0.0265,325904.0,1.0
33.0,1791206.0,265.0,0.045,326394.0,0.0
33.0,1791206.0,20.0,0.0265,326394.0,0.0
35.0,1271578.0,140.0,0.4651,45024.0,0.0
35.0,1271578.0,140.0,0.4651,180913.0,0.0
35.0,1271578.0,140.0,0.4651,289116.0,1.0
38.0,1280769.0,16.0,0.0699,10731.0,0.0
38.0,1280769.0,16.0,0.0091,18493.0,0.0
38.0,1280769.0,16.0,0.1192,35316.0,0.0
38.0,1280769.0,16.0,0.1156,123124.0,0.0
38.0,1280769.0,16.0,0.1277,128502.0,0.0
38.0,1280769.0,16.0,0.1134,135335.0,0.0
